sexo,edad,nacionalidad,ccaa,tipo_hogar,regimen_vivienda,nivel_educativo,unidades_consumo,renta_hogar,ingresos_anuales,riesgo_pobreza,situacion_economica_infancia,pesos
Hombre,45,Espana,ES62,Biparental con niños/as,En propiedad,200,2.3,28615.6,15155.5,0,Moderadamente buena,518.70866
Mujer,44,Espana,ES62,Biparental con niños/as,En propiedad,300,2.3,28615.6,12844.4,0,Mala,518.70866
Mujer,18,Espana,ES62,Biparental con niños/as,En propiedad,200,2.3,28615.6,0,0,NA,518.70866
Mujer,7,NA,ES62,Biparental con niños/as,En propiedad,NA,2.3,28615.6,NA,0,NA,518.70866
Mujer,53,Espana,ES62,Biparental con niños/as,En propiedad,300,2.5,20886.5,0,1,Moderadamente mala,920.17628
Hombre,55,Espana,ES62,Biparental con niños/as,En propiedad,300,2.5,20886.5,15822.2,1,Moderadamente buena,920.17628
Mujer,18,Espana,ES62,Biparental con niños/as,En propiedad,344,2.5,20886.5,0,1,NA,920.17628
Hombre,18,Espana,ES62,Biparental con niños/as,En propiedad,344,2.5,20886.5,0,1,NA,920.17628
Hombre,64,Espana,ES62,Unipersonal,En alquiler,200,1,5160,0,1,NA,691.31981
Mujer,66,Espana,ES62,Otros hogares,En propiedad,100,2,22751.15,0,0,NA,2672.78943
Hombre,65,Espana,ES62,Otros hogares,En propiedad,100,2,22751.15,0,0,NA,2672.78943
Hombre,32,Espana,ES62,Otros hogares,En propiedad,200,2,22751.15,11797.9,0,Moderadamente buena,2672.78943
Hombre,41,Espana,ES62,2 adultos sin niños,En propiedad,300,1.5,13818.2,10434.4,0,Mala,742.95857
Mujer,59,Espana,ES62,2 adultos sin niños,En propiedad,100,1.5,13818.2,0,0,Moderadamente buena,742.95857
Mujer,48,Espana,ES62,Otros hogares,En propiedad,200,2.5,24607.3,3191.4,0,Moderadamente buena,1165.90808
Hombre,50,Espana,ES62,Otros hogares,En propiedad,200,2.5,24607.3,12011,0,Moderadamente buena,1165.90808
Hombre,22,Espana,ES62,Otros hogares,En propiedad,354,2.5,24607.3,2883.5,0,NA,1165.90808
Mujer,16,NA,ES62,Otros hogares,En propiedad,NA,2.5,24607.3,NA,0,NA,1165.90808
Mujer,76,Espana,ES62,2 adultos sin niños,En propiedad,000,1.5,18995.3,0,0,NA,630.71799
Hombre,85,Espana,ES62,2 adultos sin niños,En propiedad,300,1.5,18995.3,0,0,NA,630.71799
Mujer,44,Espana,ES62,Biparental con niños/as,En propiedad,300,2.1,30746.6,7821.8,0,Moderadamente buena,576.56451
Hombre,45,Espana,ES62,Biparental con niños/as,En propiedad,200,2.1,30746.6,23251.9,0,Moderadamente buena,576.56451
Hombre,10,NA,ES62,Biparental con niños/as,En propiedad,NA,2.1,30746.6,NA,0,NA,576.56451
Mujer,7,NA,ES62,Biparental con niños/as,En propiedad,NA,2.1,30746.6,NA,0,NA,576.56451
Hombre,50,Espana,ES62,Otros hogares,En propiedad,100,2,30622.7,9072.3,0,Moderadamente buena,929.33886
Mujer,79,Espana,ES62,Otros hogares,En propiedad,000,2,30622.7,0,0,NA,929.33886
Mujer,40,Espana,ES62,Otros hogares,En propiedad,200,2,30622.7,9072.3,0,Moderadamente buena,929.33886
Mujer,63,Espana,ES62,Unipersonal,En propiedad,200,1,8503.2,0,1,NA,230.12643
Hombre,61,Espana,ES62,Biparental con niños/as,En propiedad,200,2.7,5184.2,0,1,NA,301.40803
Mujer,36,Espana,ES62,Biparental con niños/as,En propiedad,200,2.7,5184.2,0,1,Muy mala,301.40803
Hombre,14,NA,ES62,Biparental con niños/as,En propiedad,NA,2.7,5184.2,NA,1,NA,301.40803
Hombre,12,NA,ES62,Biparental con niños/as,En propiedad,NA,2.7,5184.2,NA,1,NA,301.40803
Mujer,8,NA,ES62,Biparental con niños/as,En propiedad,NA,2.7,5184.2,NA,1,NA,301.40803
Mujer,1,NA,ES62,Biparental con niños/as,En propiedad,NA,2.7,5184.2,NA,1,NA,301.40803
Hombre,71,Espana,ES62,Otros hogares,En propiedad,100,2,30943.1,0,0,NA,716.64514
Mujer,68,Espana,ES62,Otros hogares,En propiedad,100,2,30943.1,0,0,NA,716.64514
Mujer,44,Espana,ES62,Otros hogares,En propiedad,200,2,30943.1,0,0,Moderadamente buena,716.64514
Mujer,85,Espana,ES62,Otros hogares,En propiedad,000,2.5,47294.4,0,0,NA,429.62186
Hombre,50,Espana,ES62,Otros hogares,En propiedad,500,2.5,47294.4,0,0,Moderadamente buena,429.62186
Mujer,49,Espana,ES62,Otros hogares,En propiedad,300,2.5,47294.4,0,0,Moderadamente buena,429.62186
Mujer,19,Espana,ES62,Otros hogares,En propiedad,344,2.5,47294.4,0,0,NA,429.62186
Hombre,64,Espana,ES62,Unipersonal,En propiedad,100,1,10171.4,4559.1,0,NA,311.17674
Mujer,81,Espana,ES62,Unipersonal,En propiedad,000,1,9479.4,0,0,NA,335.34388
Mujer,86,Espana,ES62,Unipersonal,En propiedad,000,1,11645.2,0,0,NA,335.34388
Hombre,43,Extranjero (resto mundo),ES62,Otros hogares,En alquiler,100,2.9,27955,15018.6,0,Moderadamente buena,1062.19612
Hombre,49,Extranjero (resto mundo),ES62,Otros hogares,En alquiler,000,2.9,27955,11159.4,0,Moderadamente buena,1062.19612
Mujer,28,Extranjero (resto mundo),ES62,Otros hogares,En alquiler,100,2.9,27955,0,0,Moderadamente mala,1062.19612
Hombre,9,NA,ES62,Otros hogares,En alquiler,NA,2.9,27955,NA,0,NA,1062.19612
Mujer,4,NA,ES62,Otros hogares,En alquiler,NA,2.9,27955,NA,0,NA,1062.19612
Hombre,0,NA,ES62,Otros hogares,En alquiler,NA,2.9,27955,NA,0,NA,1062.19612
Hombre,57,Espana,ES62,Otros hogares,En propiedad,200,3,20298.7,0,1,Moderadamente buena,882.08899
Mujer,58,Espana,ES62,Otros hogares,En propiedad,200,3,20298.7,0,1,Moderadamente buena,882.08899
Mujer,25,Espana,ES62,Otros hogares,En propiedad,500,3,20298.7,851,1,NA,882.08899
Hombre,22,Espana,ES62,Otros hogares,En propiedad,500,3,20298.7,1228.4,1,NA,882.08899
Mujer,18,Espana,ES62,Otros hogares,En propiedad,200,3,20298.7,273.5,1,NA,882.08899
Mujer,71,Espana,ES62,Unipersonal,En propiedad,000,1,10656.8,0,0,NA,336.9069
Hombre,63,Espana,ES62,Otros hogares,En alquiler,100,2,51627.5,0,0,NA,864.09948
Mujer,60,Espana,ES62,Otros hogares,En alquiler,500,2,51627.5,23271.2,0,NA,864.09948
Mujer,25,Espana,ES62,Otros hogares,En alquiler,500,2,51627.5,10866.1,0,NA,864.09948
Mujer,82,Espana,ES62,Unipersonal,En propiedad,100,1,9191.3,0,0,NA,889.73693
Hombre,60,Espana,ES62,Otros hogares,En propiedad,300,2,38445.7,19152.4,0,NA,1460.37017
Mujer,53,Espana,ES62,Otros hogares,En propiedad,200,2,38445.7,0,0,Moderadamente mala,1460.37017
Hombre,26,Espana,ES62,Otros hogares,En propiedad,200,2,38445.7,17443.6,0,Moderadamente buena,1460.37017
Mujer,41,Espana,ES62,2 adultos sin niños,En propiedad,500,1.5,36902.88,27168.5,0,Buena,3095.77646
Mujer,64,Espana,ES62,2 adultos sin niños,En propiedad,200,1.5,36902.88,0,0,NA,3095.77646
Hombre,32,Espana,ES62,Biparental con niños/as,En propiedad,200,1.8,23943.4,14309.6,0,Buena,2407.93597
Mujer,31,Extranjero (resto UE),ES62,Biparental con niños/as,En propiedad,200,1.8,23943.4,8573,0,Buena,2407.93597
Mujer,4,NA,ES62,Biparental con niños/as,En propiedad,NA,1.8,23943.4,NA,0,NA,2407.93597
Hombre,59,Espana,ES62,Otros hogares,En propiedad,200,2.5,30821,30937,0,Mala,3522.55592
Mujer,57,Extranjero (resto UE),ES62,Otros hogares,En propiedad,200,2.5,30821,0,0,Buena,3522.55592
Hombre,29,Espana,ES62,Otros hogares,En propiedad,500,2.5,30821,2513.5,0,Buena,3522.55592
Hombre,19,Espana,ES62,Otros hogares,En propiedad,344,2.5,30821,0,0,NA,3522.55592
Mujer,42,Espana,ES62,Biparental con niños/as,En alquiler,500,2.1,34783.9,3093.8,0,Buena,2051.10382
Hombre,45,Espana,ES62,Biparental con niños/as,En alquiler,300,2.1,34783.9,31268.1,0,Buena,2051.10382
Hombre,12,NA,ES62,Biparental con niños/as,En alquiler,NA,2.1,34783.9,NA,0,NA,2051.10382
Hombre,6,NA,ES62,Biparental con niños/as,En alquiler,NA,2.1,34783.9,NA,0,NA,2051.10382
Mujer,81,Espana,ES62,Otros hogares,En propiedad,100,2,20980.7,0,0,NA,549.30297
Hombre,84,Espana,ES62,Otros hogares,En propiedad,100,2,20980.7,0,0,NA,549.30297
Hombre,47,Espana,ES62,Otros hogares,En propiedad,500,2,20980.7,0,0,Mala,549.30297
Hombre,54,Espana,ES62,Biparental con niños/as,En propiedad,500,2.5,52392.7,18389.4,0,Moderadamente buena,340.2311
Mujer,54,Extranjero (resto UE),ES62,Biparental con niños/as,En propiedad,500,2.5,52392.7,0,0,Buena,340.2311
Mujer,18,Espana,ES62,Biparental con niños/as,En propiedad,344,2.5,52392.7,0,0,NA,340.2311
Mujer,18,Espana,ES62,Biparental con niños/as,En propiedad,344,2.5,52392.7,0,0,NA,340.2311
Hombre,48,Extranjero (resto UE),ES62,Unipersonal,En propiedad,300,1,15195.6,442.2,0,Moderadamente mala,387.74436
Hombre,76,Espana,ES62,Otros hogares,En propiedad,200,2,20426.4,0,0,NA,864.51242
Mujer,71,Espana,ES62,Otros hogares,En propiedad,200,2,20426.4,0,0,NA,864.51242
Mujer,47,Espana,ES62,Otros hogares,En propiedad,300,2,20426.4,2287.3,0,Buena,864.51242
Mujer,86,Espana,ES62,Unipersonal,En propiedad,000,1,10888.1,0,0,NA,403.04627
Mujer,62,Espana,ES62,2 adultos sin niños,En propiedad,300,1.5,11515.3,0,1,NA,617.33855
Hombre,62,Espana,ES62,2 adultos sin niños,En propiedad,300,1.5,11515.3,10744.5,1,NA,617.33855
Mujer,72,Espana,ES62,2 adultos sin niños,En propiedad,100,1.5,39197.6,0,0,NA,361.35062
Hombre,78,Espana,ES62,2 adultos sin niños,En propiedad,100,1.5,39197.6,0,0,NA,361.35062
Mujer,86,Espana,ES62,Unipersonal,En propiedad,100,1,10524.1,0,0,NA,403.04627
Hombre,49,Extranjero (resto mundo),ES62,Biparental con niños/as,En propiedad,100,2.8,18270.7,8829,1,Mala,682.28615
Mujer,42,Extranjero (resto mundo),ES62,Biparental con niños/as,En propiedad,000,2.8,18270.7,2926.5,1,Mala,682.28615
Hombre,19,Extranjero (resto mundo),ES62,Biparental con niños/as,En propiedad,344,2.8,18270.7,0,1,NA,682.28615
Mujer,19,Extranjero (resto mundo),ES62,Biparental con niños/as,En propiedad,344,2.8,18270.7,0,1,NA,682.28615
Hombre,8,NA,ES62,Biparental con niños/as,En propiedad,NA,2.8,18270.7,NA,1,NA,682.28615
Hombre,66,Espana,ES62,2 adultos sin niños,En propiedad,300,1.5,35496.5,0,0,NA,651.93425
Mujer,63,Espana,ES62,2 adultos sin niños,En propiedad,200,1.5,35496.5,0,0,NA,651.93425
Hombre,59,Espana,ES62,2 adultos sin niños,En propiedad,500,1.5,26704.9,14858.9,0,Moderadamente buena,389.6855
Mujer,58,Espana,ES62,2 adultos sin niños,En propiedad,300,1.5,26704.9,11377.5,0,Moderadamente buena,389.6855
Hombre,78,Espana,ES62,2 adultos sin niños,En propiedad,000,1.5,24442.8,0,0,NA,448.24781
Mujer,76,Espana,ES62,2 adultos sin niños,En propiedad,000,1.5,24442.8,0,0,NA,448.24781
Hombre,66,Espana,ES62,Unipersonal,En propiedad,300,1,27802.8,0,0,NA,523.10591
Mujer,55,Espana,ES62,Otros hogares,En propiedad,200,2.5,54837.1,9815.5,0,Moderadamente mala,1714.4806
Hombre,62,Espana,ES62,Otros hogares,En propiedad,300,2.5,54837.1,25502.2,0,NA,1714.4806
Mujer,26,Espana,ES62,Otros hogares,En propiedad,200,2.5,54837.1,0,0,Moderadamente mala,1714.4806
Hombre,30,Espana,ES62,Otros hogares,En propiedad,354,2.5,54837.1,0,0,Moderadamente mala,1714.4806
Mujer,21,Espana,ES62,2 adultos sin niños,En alquiler,344,1.5,12.5,0,1,NA,363.43259
Hombre,25,Espana,ES62,2 adultos sin niños,En alquiler,344,1.5,12.5,0,1,NA,363.43259
Hombre,84,Espana,ES62,2 adultos sin niños,En propiedad,200,1.5,15932.9,0,0,NA,779.47471
Mujer,81,Espana,ES62,2 adultos sin niños,En propiedad,100,1.5,15932.9,0,0,NA,779.47471
Mujer,69,Espana,ES62,Unipersonal,En propiedad,100,1,12013.6,0,0,NA,200.49037
Mujer,40,Espana,ES62,Monomarental con niños/as,En propiedad,300,1.3,14810.1,15255.6,0,Moderadamente buena,757.86297
Mujer,10,NA,ES62,Monomarental con niños/as,En propiedad,NA,1.3,14810.1,NA,0,NA,757.86297
Mujer,57,Espana,ES62,2 adultos sin niños,En alquiler,100,1.5,7369.5,0,1,Moderadamente buena,528.01657
Hombre,38,Espana,ES62,2 adultos sin niños,En alquiler,000,1.5,7369.5,0,1,Muy mala,528.01657
Mujer,48,Espana,ES62,Biparental con niños/as,En propiedad,500,2.1,45697.36,13034.85,0,Moderadamente buena,681.39931
Hombre,45,Espana,ES62,Biparental con niños/as,En propiedad,500,2.1,45697.36,28454.3,0,Moderadamente buena,681.39931
Mujer,14,NA,ES62,Biparental con niños/as,En propiedad,NA,2.1,45697.36,NA,0,NA,681.39931
Hombre,12,NA,ES62,Biparental con niños/as,En propiedad,NA,2.1,45697.36,NA,0,NA,681.39931
Hombre,68,Espana,ES62,Otros hogares,En propiedad,100,2,34015.1,0,0,NA,1525.02114
Mujer,64,Espana,ES62,Otros hogares,En propiedad,100,2,34015.1,4446,0,NA,1525.02114
Hombre,26,Espana,ES62,Otros hogares,En propiedad,500,2,34015.1,0,0,Buena,1525.02114
Hombre,68,Espana,ES62,Unipersonal,En propiedad,100,1,9829.3,0,0,NA,1741.37158
Mujer,46,Espana,ES62,Biparental con niños/as,En propiedad,300,2.1,30275.3,17285.4,0,Moderadamente buena,838.86426
Hombre,49,Espana,ES62,Biparental con niños/as,En propiedad,200,2.1,30275.3,8916.5,0,Mala,838.86426
Hombre,13,NA,ES62,Biparental con niños/as,En propiedad,NA,2.1,30275.3,NA,0,NA,838.86426
Hombre,7,NA,ES62,Biparental con niños/as,En propiedad,NA,2.1,30275.3,NA,0,NA,838.86426
Hombre,51,Espana,ES62,Biparental con niños/as,En propiedad,200,2,35177,18463,0,Muy buena,955.78575
Mujer,50,Espana,ES62,Biparental con niños/as,En propiedad,200,2,35177,17109.6,0,Buena,955.78575
Hombre,15,NA,ES62,Biparental con niños/as,En propiedad,NA,2,35177,NA,0,NA,955.78575
Hombre,70,Espana,ES62,2 adultos sin niños,En propiedad,200,1.5,15494.5,0,0,NA,1158.53036
Mujer,70,Espana,ES62,2 adultos sin niños,En propiedad,200,1.5,15494.5,0,0,NA,1158.53036
Hombre,40,Espana,ES62,Biparental con niños/as,En propiedad,200,1.8,11335,10552.8,1,Moderadamente buena,2155.74068
Mujer,33,Espana,ES62,Biparental con niños/as,En propiedad,200,1.8,11335,0,1,Moderadamente buena,2155.74068
Mujer,0,NA,ES62,Biparental con niños/as,En propiedad,NA,1.8,11335,NA,1,NA,2155.74068
Hombre,48,Espana,ES62,Biparental con niños/as,En propiedad,300,2.3,9857.4,0,1,Mala,685.71484
Mujer,44,Espana,ES62,Biparental con niños/as,En propiedad,200,2.3,9857.4,45.9,1,Moderadamente mala,685.71484
Mujer,17,Espana,ES62,Biparental con niños/as,En propiedad,200,2.3,9857.4,0,1,NA,685.71484
Hombre,12,NA,ES62,Biparental con niños/as,En propiedad,NA,2.3,9857.4,NA,1,NA,685.71484
Hombre,32,Extranjero (resto mundo),ES62,Biparental con niños/as,En alquiler,500,2.1,20467.57,18965.1,0,Mala,1325.02178
Mujer,29,Espana,ES62,Biparental con niños/as,En alquiler,500,2.1,20467.57,171.56,0,Moderadamente buena,1325.02178
Mujer,3,NA,ES62,Biparental con niños/as,En alquiler,NA,2.1,20467.57,NA,0,NA,1325.02178
Hombre,1,NA,ES62,Biparental con niños/as,En alquiler,NA,2.1,20467.57,NA,0,NA,1325.02178
Hombre,58,Espana,ES62,Biparental con niños/as,En propiedad,500,2.3,39224.4,38368.3,0,Buena,551.1357
Mujer,48,Espana,ES62,Biparental con niños/as,En propiedad,500,2.3,39224.4,0,0,Moderadamente buena,551.1357
Mujer,15,NA,ES62,Biparental con niños/as,En propiedad,NA,2.3,39224.4,NA,0,NA,551.1357
Hombre,12,NA,ES62,Biparental con niños/as,En propiedad,NA,2.3,39224.4,NA,0,NA,551.1357
Hombre,49,Espana,ES62,Biparental con niños/as,En propiedad,300,2.3,22160.6,13737,0,Moderadamente mala,1123.95405
Mujer,46,Espana,ES62,Biparental con niños/as,En propiedad,500,2.3,22160.6,0,0,Moderadamente mala,1123.95405
Hombre,18,Espana,ES62,Biparental con niños/as,En propiedad,200,2.3,22160.6,0,0,NA,1123.95405
Mujer,14,NA,ES62,Biparental con niños/as,En propiedad,NA,2.3,22160.6,NA,0,NA,1123.95405
Hombre,40,Extranjero (resto mundo),ES62,Unipersonal,En alquiler,500,1,12168.4,8357.1,0,Moderadamente mala,900.72391
Hombre,27,Espana,ES62,Otros hogares,En propiedad,344,2,55406.6,0,0,Moderadamente buena,3552.83943
Hombre,55,Espana,ES62,Otros hogares,En propiedad,200,2,55406.6,30722.1,0,Moderadamente mala,3552.83943
Mujer,54,Espana,ES62,Otros hogares,En propiedad,200,2,55406.6,13683.3,0,Moderadamente mala,3552.83943
Hombre,56,Espana,ES62,Otros hogares,En propiedad,500,3,72839.5,34731.1,0,Muy mala,862.98673
Mujer,55,Espana,ES62,Otros hogares,En propiedad,500,3,72839.5,32289.8,0,Mala,862.98673
Mujer,28,Espana,ES62,Otros hogares,En propiedad,500,3,72839.5,1813.9,0,Buena,862.98673
Hombre,24,Espana,ES62,Otros hogares,En propiedad,500,3,72839.5,3898.9,0,NA,862.98673
Mujer,17,Espana,ES62,Otros hogares,En propiedad,200,3,72839.5,0,0,NA,862.98673
Mujer,62,Espana,ES62,Unipersonal,En propiedad,300,1,4571.24,0,1,NA,363.34679
Mujer,59,Extranjero (resto mundo),ES62,Biparental con niños/as,En alquiler,300,2,4722.6,543.4,1,Mala,880.40559
Hombre,39,Extranjero (resto mundo),ES62,Biparental con niños/as,En alquiler,500,2,4722.6,5379.2,1,Moderadamente buena,880.40559
Mujer,15,NA,ES62,Biparental con niños/as,En alquiler,NA,2,4722.6,NA,1,NA,880.40559
Hombre,77,Espana,ES62,2 adultos sin niños,En propiedad,200,1.5,18340.5,0,0,NA,448.24781
Mujer,76,Espana,ES62,2 adultos sin niños,En propiedad,000,1.5,18340.5,0,0,NA,448.24781
Hombre,61,Espana,ES62,Biparental con niños/as,En propiedad,200,2,28467.7,19906.5,0,NA,259.24451
Mujer,60,Espana,ES62,Biparental con niños/as,En propiedad,000,2,28467.7,0,0,NA,259.24451
Mujer,21,Espana,ES62,Biparental con niños/as,En propiedad,344,2,28467.7,0,0,NA,259.24451
Mujer,73,Espana,ES62,2 adultos sin niños,En propiedad,000,1.5,13956.5,0,0,NA,474.69988
Hombre,83,Espana,ES62,2 adultos sin niños,En propiedad,000,1.5,13956.5,0,0,NA,474.69988
Mujer,44,Extranjero (resto mundo),ES62,Biparental con niños/as,En alquiler,200,2.6,18063.8,0,1,Moderadamente buena,832.02096
Hombre,51,Extranjero (resto mundo),ES62,Biparental con niños/as,En alquiler,200,2.6,18063.8,2680.4,1,Moderadamente buena,832.02096
Mujer,22,Extranjero (resto mundo),ES62,Biparental con niños/as,En alquiler,200,2.6,18063.8,12844.1,1,NA,832.02096
Hombre,11,NA,ES62,Biparental con niños/as,En alquiler,NA,2.6,18063.8,NA,1,NA,832.02096
Mujer,5,NA,ES62,Biparental con niños/as,En alquiler,NA,2.6,18063.8,NA,1,NA,832.02096
Hombre,74,Espana,ES62,2 adultos sin niños,En propiedad,300,1.5,18459.5,0,0,NA,1158.53036
Mujer,73,Espana,ES62,2 adultos sin niños,En propiedad,200,1.5,18459.5,0,0,NA,1158.53036
Hombre,85,Espana,ES62,2 adultos sin niños,En propiedad,300,1.5,16610.4,0,0,NA,779.47471
Mujer,82,Espana,ES62,2 adultos sin niños,En propiedad,100,1.5,16610.4,0,0,NA,779.47471
Mujer,54,Espana,ES62,Biparental con niños/as,En propiedad,500,2,25527.4,60.7,0,Muy mala,470.84773
Hombre,58,Espana,ES62,Biparental con niños/as,En propiedad,200,2,25527.4,0,0,Buena,470.84773
Hombre,15,NA,ES62,Biparental con niños/as,En propiedad,NA,2,25527.4,NA,0,NA,470.84773
Hombre,79,Espana,ES62,2 adultos sin niños,En propiedad,100,1.5,16722.7,0,0,NA,448.24781
Mujer,76,Espana,ES62,2 adultos sin niños,En propiedad,000,1.5,16722.7,0,0,NA,448.24781
Hombre,70,Espana,ES62,2 adultos sin niños,En propiedad,500,1.5,31062.4,128.9,0,NA,1158.53036
Mujer,69,Espana,ES62,2 adultos sin niños,En propiedad,300,1.5,31062.4,0,0,NA,1158.53036
Mujer,38,Espana,ES62,Biparental con niños/as,En propiedad,500,2.1,19478.6,1952.8,0,Mala,910.33815
Hombre,42,Espana,ES62,Biparental con niños/as,En propiedad,300,2.1,19478.6,13148,0,Moderadamente buena,910.33815
Hombre,13,NA,ES62,Biparental con niños/as,En propiedad,NA,2.1,19478.6,NA,0,NA,910.33815
Mujer,5,NA,ES62,Biparental con niños/as,En propiedad,NA,2.1,19478.6,NA,0,NA,910.33815
Mujer,39,Extranjero (resto mundo),ES62,Otros hogares,En propiedad,300,2.8,22020.8,2967.7,1,Moderadamente buena,746.41365
Hombre,38,Extranjero (resto mundo),ES62,Otros hogares,En propiedad,200,2.8,22020.8,14376.9,1,Moderadamente mala,746.41365
Mujer,63,Extranjero (resto mundo),ES62,Otros hogares,En propiedad,200,2.8,22020.8,0.1,1,NA,746.41365
Mujer,18,Extranjero (resto mundo),ES62,Otros hogares,En propiedad,344,2.8,22020.8,0,1,NA,746.41365
Hombre,1,NA,ES62,Otros hogares,En propiedad,NA,2.8,22020.8,NA,1,NA,746.41365
Mujer,49,Espana,ES62,Biparental con niños/as,En propiedad,300,2.8,16550.7,107,1,Muy buena,1174.41203
Hombre,50,Espana,ES62,Biparental con niños/as,En propiedad,300,2.8,16550.7,10078.4,1,Buena,1174.41203
Mujer,22,Espana,ES62,Biparental con niños/as,En propiedad,500,2.8,16550.7,107.1,1,NA,1174.41203
Hombre,17,Espana,ES62,Biparental con niños/as,En propiedad,200,2.8,16550.7,0,1,NA,1174.41203
Hombre,13,NA,ES62,Biparental con niños/as,En propiedad,NA,2.8,16550.7,NA,1,NA,1174.41203
Mujer,64,Espana,ES62,Unipersonal,En propiedad,200,1,13140.08,13139.38,0,NA,363.34679
Hombre,71,Espana,ES62,Biparental con niños/as,En propiedad,200,1.8,42504.4,0,0,NA,752.82283
Mujer,31,Espana,ES62,Biparental con niños/as,En propiedad,354,1.8,42504.4,8859.5,0,Buena,752.82283
Mujer,13,NA,ES62,Biparental con niños/as,En propiedad,NA,1.8,42504.4,NA,0,NA,752.82283
Mujer,36,Espana,ES62,Monomarental con niños/as,En propiedad,500,1.6,8263,0,1,Moderadamente mala,1042.30413
Hombre,9,NA,ES62,Monomarental con niños/as,En propiedad,NA,1.6,8263,NA,1,NA,1042.30413
Hombre,5,NA,ES62,Monomarental con niños/as,En propiedad,NA,1.6,8263,NA,1,NA,1042.30413
Hombre,46,Espana,ES62,Biparental con niños/as,En propiedad,500,2.1,41694.7,34339.2,0,Buena,933.93943
Mujer,46,Espana,ES62,Biparental con niños/as,En propiedad,300,2.1,41694.7,6688.3,0,Moderadamente mala,933.93943
Hombre,9,NA,ES62,Biparental con niños/as,En propiedad,NA,2.1,41694.7,NA,0,NA,933.93943
Hombre,9,NA,ES62,Biparental con niños/as,En propiedad,NA,2.1,41694.7,NA,0,NA,933.93943
Hombre,52,Espana,ES62,Biparental con niños/as,En propiedad,500,2.6,50746.9,39213,0,Muy buena,592.19107
Mujer,49,Espana,ES62,Biparental con niños/as,En propiedad,500,2.6,50746.9,0,0,Buena,592.19107
Hombre,17,Espana,ES62,Biparental con niños/as,En propiedad,200,2.6,50746.9,0,0,NA,592.19107
Mujer,14,NA,ES62,Biparental con niños/as,En propiedad,NA,2.6,50746.9,NA,0,NA,592.19107
Mujer,10,NA,ES62,Biparental con niños/as,En propiedad,NA,2.6,50746.9,NA,0,NA,592.19107
Mujer,55,Espana,ES62,Otros hogares,En propiedad,300,2,85109.4,15294.3,0,Moderadamente buena,818.88118
Hombre,57,Espana,ES62,Otros hogares,En propiedad,500,2,85109.4,71721.1,0,Buena,818.88118
Hombre,25,Espana,ES62,Otros hogares,En propiedad,500,2,85109.4,131,0,NA,818.88118
Hombre,53,Espana,ES62,Biparental con niños/as,En propiedad,200,2.3,24106.2,14724.8,0,Mala,941.84704
Mujer,52,Espana,ES62,Biparental con niños/as,En propiedad,300,2.3,24106.2,0,0,Buena,941.84704
Hombre,21,Espana,ES62,Biparental con niños/as,En propiedad,344,2.3,24106.2,2678.2,0,NA,941.84704
Mujer,12,NA,ES62,Biparental con niños/as,En propiedad,NA,2.3,24106.2,NA,0,NA,941.84704
Hombre,59,Espana,ES62,Monomarental con niños/as,En propiedad,200,1.5,22731.4,21110.3,0,Moderadamente mala,253.50489
Mujer,20,Espana,ES62,Monomarental con niños/as,En propiedad,344,1.5,22731.4,0,0,NA,253.50489
Hombre,32,Espana,ES62,2 adultos sin niños,En propiedad,200,1.5,21179.7,15066.6,0,Buena,4012.46081
Mujer,28,Espana,ES62,2 adultos sin niños,En propiedad,500,1.5,21179.7,5529.7,0,Buena,4012.46081
Hombre,50,Espana,ES62,Biparental con niños/as,En propiedad,500,2,24536.5,21329.8,0,Buena,370.18249
Mujer,48,Espana,ES62,Biparental con niños/as,En propiedad,500,2,24536.5,696.6,0,Buena,370.18249
Mujer,16,NA,ES62,Biparental con niños/as,En propiedad,NA,2,24536.5,NA,0,NA,370.18249
Mujer,83,Espana,ES62,2 adultos sin niños,En propiedad,100,1.5,18485.2,0,0,NA,593.35105
Hombre,86,Espana,ES62,2 adultos sin niños,En propiedad,100,1.5,18485.2,0,0,NA,593.35105
Hombre,63,Espana,ES62,2 adultos sin niños,En propiedad,100,1.5,10651.1,0,1,NA,281.55044
Mujer,58,Espana,ES62,2 adultos sin niños,En propiedad,200,1.5,10651.1,0,1,Moderadamente buena,281.55044
Mujer,42,Espana,ES62,Unipersonal,En alquiler,500,1,11337.1,11200,0,Buena,3476.45145
Mujer,86,Espana,ES62,2 adultos sin niños,En alquiler,000,1.5,16272.6,0,0,NA,505.03221
Mujer,61,Espana,ES62,2 adultos sin niños,En alquiler,200,1.5,16272.6,0,0,NA,505.03221
Hombre,85,Espana,ES62,Unipersonal,En propiedad,000,1,22244.4,0,0,NA,430.09644
Hombre,69,Espana,ES62,Otros hogares,En propiedad,100,2.5,16658.1,0,1,NA,2316.14158
Mujer,68,Espana,ES62,Otros hogares,En propiedad,100,2.5,16658.1,0,1,NA,2316.14158
Hombre,43,Espana,ES62,Otros hogares,En propiedad,000,2.5,16658.1,161.4,1,Muy mala,2316.14158
Hombre,43,Espana,ES62,Otros hogares,En propiedad,000,2.5,16658.1,0,1,Muy mala,2316.14158
Hombre,56,Espana,ES62,Unipersonal,En alquiler,200,1,30736.1,27118.49,0,Muy buena,3467.52197
Mujer,85,Espana,ES62,Unipersonal,En propiedad,100,1,10418.4,0,0,NA,745.01028
