sexo,edad,nacionalidad,ccaa,tipo_hogar,regimen_vivienda,nivel_educativo,unidades_consumo,renta_hogar,ingresos_anuales,riesgo_pobreza,situacion_economica_infancia,pesos
Mujer,86,Espana,ES21,Otros hogares,En propiedad,100,2.5,61469.3,0,0,NA,836.61334
Mujer,67,Espana,ES21,Otros hogares,En propiedad,300,2,14072.76,0,1,NA,365.82306
Mujer,86,Espana,ES21,Otros hogares,En propiedad,200,2,14072.76,0,1,NA,365.82306
Hombre,53,Extranjero (resto mundo),ES21,Otros hogares,En propiedad,300,2,14072.76,0,1,Moderadamente buena,365.82306
Mujer,70,Espana,ES21,2 adultos sin niños,En propiedad,500,1.5,49623,0,0,NA,1977.87463
Hombre,35,Espana,ES21,2 adultos sin niños,En propiedad,344,1.5,49623,14040,0,Buena,1977.87463
Mujer,65,Espana,ES21,Unipersonal,En propiedad,500,1,28748.2,0,0,NA,707.28459
Hombre,46,Espana,ES21,Biparental con niños/as,En propiedad,500,2.1,83629.21,55380,0,Muy buena,616.73529
Mujer,46,Espana,ES21,Biparental con niños/as,En propiedad,500,2.1,83629.21,27300,0,Moderadamente buena,616.73529
Hombre,10,NA,ES21,Biparental con niños/as,En propiedad,NA,2.1,83629.21,NA,0,NA,616.73529
Hombre,8,NA,ES21,Biparental con niños/as,En propiedad,NA,2.1,83629.21,NA,0,NA,616.73529
Mujer,43,Espana,ES21,Monomarental con niños/as,En alquiler,500,1.3,15677.85,11237.85,0,Buena,1613.02554
Mujer,11,NA,ES21,Monomarental con niños/as,En alquiler,NA,1.3,15677.85,NA,0,NA,1613.02554
Hombre,56,Extranjero (resto UE),ES21,Otros hogares,En alquiler,500,2,53400,39000,0,Buena,1528.62961
Mujer,51,Extranjero (resto UE),ES21,Otros hogares,En alquiler,300,2,53400,0,0,Moderadamente buena,1528.62961
Hombre,30,Extranjero (resto UE),ES21,Otros hogares,En alquiler,344,2,53400,13000,0,Moderadamente buena,1528.62961
Mujer,37,Espana,ES21,Biparental con niños/as,En propiedad,500,1.8,65013,17218.5,0,Moderadamente buena,816.82405
Hombre,37,Espana,ES21,Biparental con niños/as,En propiedad,500,1.8,65013,46273.5,0,Moderadamente buena,816.82405
Hombre,4,NA,ES21,Biparental con niños/as,En propiedad,NA,1.8,65013,NA,0,NA,816.82405
Hombre,41,Espana,ES21,Biparental con niños/as,En propiedad,500,2.1,66680.5,43290,0,Buena,841.4712
Mujer,39,Espana,ES21,Biparental con niños/as,En propiedad,500,2.1,66680.5,20624.5,0,Moderadamente mala,841.4712
Mujer,8,NA,ES21,Biparental con niños/as,En propiedad,NA,2.1,66680.5,NA,0,NA,841.4712
Mujer,5,NA,ES21,Biparental con niños/as,En propiedad,NA,2.1,66680.5,NA,0,NA,841.4712
Hombre,47,Espana,ES21,2 adultos sin niños,En propiedad,500,1.5,25601.21,14611.21,0,Moderadamente buena,1380.51713
Mujer,37,Espana,ES21,2 adultos sin niños,En propiedad,500,1.5,25601.21,10920,0,Moderadamente buena,1380.51713
Hombre,62,Extranjero (resto mundo),ES21,Biparental con niños/as,En propiedad,100,2.7,26380,25480,0,NA,1873.57195
Mujer,36,Extranjero (resto mundo),ES21,Biparental con niños/as,En propiedad,200,2.7,26380,0,0,Moderadamente buena,1873.57195
Hombre,13,NA,ES21,Biparental con niños/as,En propiedad,NA,2.7,26380,NA,0,NA,1873.57195
Mujer,11,NA,ES21,Biparental con niños/as,En propiedad,NA,2.7,26380,NA,0,NA,1873.57195
Mujer,5,NA,ES21,Biparental con niños/as,En propiedad,NA,2.7,26380,NA,0,NA,1873.57195
Hombre,3,NA,ES21,Biparental con niños/as,En propiedad,NA,2.7,26380,NA,0,NA,1873.57195
Hombre,66,Espana,ES21,Unipersonal,En alquiler,100,1,19887.7,0,0,NA,1112.72169
Hombre,38,Espana,ES42,Unipersonal,En alquiler,500,1,25265.8,31117.1,0,Buena,2764.89417
Mujer,74,Espana,ES42,Unipersonal,En propiedad,500,1,32616,0,0,NA,693.48798
Mujer,65,Espana,ES42,Otros hogares,En propiedad,500,2.5,43944.5,0,0,NA,530.09337
Hombre,64,Espana,ES42,Otros hogares,En propiedad,500,2.5,43944.5,28673.7,0,NA,530.09337
Mujer,31,Espana,ES42,Otros hogares,En propiedad,500,2.5,43944.5,0,0,Mala,530.09337
Mujer,31,Espana,ES42,Otros hogares,En propiedad,344,2.5,43944.5,3169.8,0,Mala,530.09337
Hombre,66,Espana,ES42,Unipersonal,En propiedad,300,1,15016.6,0,0,NA,498.53113
Hombre,84,Espana,ES42,2 adultos sin niños,En propiedad,500,1.5,80508.6,0,0,NA,1113.7606
Mujer,81,Espana,ES42,2 adultos sin niños,En propiedad,500,1.5,80508.6,0,0,NA,1113.7606
Hombre,58,Espana,ES42,Biparental con niños/as,En propiedad,500,3,73198.9,0,0,Moderadamente mala,1546.29689
Mujer,51,Espana,ES42,Biparental con niños/as,En propiedad,500,3,73198.9,22591.5,0,Buena,1546.29689
Mujer,25,Espana,ES42,Biparental con niños/as,En propiedad,500,3,73198.9,1557.5,0,NA,1546.29689
Mujer,21,Espana,ES42,Biparental con niños/as,En propiedad,344,3,73198.9,239.4,0,NA,1546.29689
Mujer,17,Espana,ES42,Biparental con niños/as,En propiedad,200,3,73198.9,0,0,NA,1546.29689
Hombre,82,Espana,ES42,Unipersonal,En propiedad,200,1,17512.9,0,0,NA,972.93938
Mujer,50,Espana,ES42,Biparental con niños/as,En propiedad,500,2.5,49066.8,32729.9,0,Moderadamente buena,1836.01881
Hombre,53,Espana,ES42,Biparental con niños/as,En propiedad,300,2.5,49066.8,0,0,Moderadamente buena,1836.01881
Hombre,23,Espana,ES42,Biparental con niños/as,En propiedad,500,2.5,49066.8,0,0,NA,1836.01881
Hombre,21,Espana,ES42,Biparental con niños/as,En propiedad,344,2.5,49066.8,0,0,NA,1836.01881
Mujer,57,Espana,ES42,2 adultos sin niños,En propiedad,100,1.5,30912.6,5451.6,0,Moderadamente buena,1468.08701
Hombre,65,Espana,ES42,2 adultos sin niños,En propiedad,100,1.5,30912.6,24697.9,0,NA,1468.08701
Hombre,49,Espana,ES42,Biparental con niños/as,En propiedad,500,2,41917,23633.6,0,Moderadamente buena,1375.98399
Mujer,50,Espana,ES42,Biparental con niños/as,En propiedad,500,2,41917,18266.4,0,Moderadamente buena,1375.98399
Mujer,18,Espana,ES42,Biparental con niños/as,En propiedad,344,2,41917,0,0,NA,1375.98399
Hombre,45,Extranjero (resto mundo),ES42,2 adultos sin niños,En alquiler,100,1.5,15287.5,6733.6,0,Moderadamente mala,4344.41383
Mujer,41,Extranjero (resto mundo),ES42,2 adultos sin niños,En alquiler,300,1.5,15287.5,9763.2,0,Moderadamente mala,4344.41383
Hombre,80,Espana,ES42,2 adultos sin niños,En propiedad,300,1.5,36736.2,0,0,NA,923.5177
Mujer,75,Espana,ES42,2 adultos sin niños,En propiedad,300,1.5,36736.2,0,0,NA,923.5177
Hombre,30,Espana,ES42,2 adultos sin niños,En alquiler,200,1.5,12160.3,437,1,Moderadamente buena,2070.39203
Hombre,73,Espana,ES42,2 adultos sin niños,En alquiler,100,1.5,12160.3,0,1,NA,2070.39203
Mujer,60,Espana,ES42,Unipersonal,En propiedad,200,1,14253.7,13381.2,0,NA,1997.79485
Mujer,48,Espana,ES42,Otros hogares,En propiedad,200,2.8,27760.1,17173.6,0,Moderadamente mala,1752.13177
Hombre,48,Extranjero (resto UE),ES42,Otros hogares,En propiedad,500,2.8,27760.1,10419.6,0,Moderadamente buena,1752.13177
Hombre,20,Espana,ES42,Otros hogares,En propiedad,200,2.8,27760.1,393.9,0,NA,1752.13177
Hombre,16,NA,ES42,Otros hogares,En propiedad,NA,2.8,27760.1,NA,0,NA,1752.13177
Mujer,10,NA,ES42,Otros hogares,En propiedad,NA,2.8,27760.1,NA,0,NA,1752.13177
Hombre,50,Espana,ES42,2 adultos sin niños,En propiedad,500,1.5,19094.1,17901.2,0,Moderadamente buena,2186.10688
Mujer,44,Espana,ES42,2 adultos sin niños,En propiedad,300,1.5,19094.1,2901.3,0,Moderadamente buena,2186.10688
Mujer,68,Espana,ES42,Unipersonal,En propiedad,100,1,2942.1,0,1,NA,693.48798
Mujer,75,Espana,ES42,2 adultos sin niños,En alquiler,100,1.5,12656.8,0,1,NA,1253.18332
Hombre,79,Espana,ES42,2 adultos sin niños,En alquiler,000,1.5,12656.8,0,1,NA,1253.18332
Hombre,57,Espana,ES42,2 adultos sin niños,En propiedad,200,1.5,18152.6,0,0,Mala,1620.263
Mujer,55,Espana,ES42,2 adultos sin niños,En propiedad,200,1.5,18152.6,0,0,Mala,1620.263
Hombre,49,Espana,ES42,Otros hogares,En propiedad,200,2.5,27639.5,21155.2,0,Moderadamente buena,2273.69662
Mujer,47,Espana,ES42,Otros hogares,En propiedad,200,2.5,27639.5,3237.2,0,Moderadamente buena,2273.69662
Hombre,20,Espana,ES42,Otros hogares,En propiedad,344,2.5,27639.5,200.9,0,NA,2273.69662
Hombre,15,NA,ES42,Otros hogares,En propiedad,NA,2.5,27639.5,NA,0,NA,2273.69662
Hombre,53,Espana,ES42,Unipersonal,En propiedad,200,1,13395.4,8034.4,0,Moderadamente buena,1218.07648
Hombre,80,Espana,ES42,2 adultos sin niños,En propiedad,000,1.5,11481.8,0,1,NA,1511.33672
Mujer,82,Espana,ES42,2 adultos sin niños,En propiedad,000,1.5,11481.8,0,1,NA,1511.33672
Hombre,39,Espana,ES42,Biparental con niños/as,En propiedad,500,2.1,50312,26676.6,0,Buena,1761.70417
Mujer,39,Espana,ES42,Biparental con niños/as,En propiedad,500,2.1,50312,21802.4,0,Buena,1761.70417
Mujer,7,NA,ES42,Biparental con niños/as,En propiedad,NA,2.1,50312,NA,0,NA,1761.70417
Hombre,5,NA,ES42,Biparental con niños/as,En propiedad,NA,2.1,50312,NA,0,NA,1761.70417
Hombre,68,Espana,ES42,Otros hogares,En propiedad,200,2,23281.8,0,0,NA,1909.12704
Mujer,60,Espana,ES42,Otros hogares,En propiedad,200,2,23281.8,0,0,NA,1909.12704
Mujer,86,Espana,ES42,Otros hogares,En propiedad,000,2,23281.8,0,0,NA,1909.12704
Mujer,71,Espana,ES42,Otros hogares,En propiedad,200,2,22273.3,0,0,NA,2369.4768
Mujer,63,Espana,ES42,Otros hogares,En propiedad,000,2,22273.3,0,0,NA,2369.4768
Hombre,35,Espana,ES42,Otros hogares,En propiedad,500,2,22273.3,3133.5,0,Moderadamente buena,2369.4768
Hombre,51,Espana,ES42,Biparental con niños/as,En propiedad,500,2.5,39965.4,35452.7,0,Moderadamente buena,1517.19964
Mujer,51,Espana,ES42,Biparental con niños/as,En propiedad,500,2.5,39965.4,3050,0,Moderadamente mala,1517.19964
Mujer,19,Espana,ES42,Biparental con niños/as,En propiedad,344,2.5,39965.4,0,0,NA,1517.19964
Hombre,17,Espana,ES42,Biparental con niños/as,En propiedad,200,2.5,39965.4,0,0,NA,1517.19964
Hombre,58,Espana,ES52,2 adultos sin niños,En propiedad,200,1.5,18836.2,16135.9,0,Moderadamente buena,601.90417
