id_centro,sexo,trimestre_nacimiento,anos_educ_infantil,isec,estudios_madre,repite_curso,expectativas_educ,mates_score
2,Chico,4 tr,5,-0.73749,"Estudios obligatorios (ESO,EGB)",No repite,No lo he pensado todavia,506.26053759999996
2,Chica,4 tr,5,-0.51772,NA,No repite,Hasta terminar una carrera universitaria,490.585469
2,Chico,3 tr,5,-0.47993,NA,Repite,Hasta terminar un Ciclo Formativo de grado medio,444.6882232
2,Chica,3 tr,6,-1.26063,NA,Repite,Hasta terminar un Ciclo Formativo de grado medio,467.6595218
2,Chico,3 tr,6,-0.7731,NA,No repite,Hasta terminar una carrera universitaria,554.8540171999999
2,Chica,1 tr,5,-1.26063,NA,Repite,Hasta terminar los estudios obligatorios (ESO),532.6467708
2,Chico,3 tr,5,-1.26063,NA,No repite,Hasta terminar Bachillerato,585.363193
2,Chica,2 tr,5,-0.11508,NA,No repite,Hasta terminar una carrera universitaria,434.0948232
2,Chico,4 tr,4,1.22369,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar los estudios obligatorios (ESO),440.025426
2,Chico,2 tr,6,1.22369,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,709.2138672
2,Chico,2 tr,6,1.81735,Universitarios superiores,No repite,No lo he pensado todavia,649.70852
2,Chica,4 tr,4,-1.52649,"Estudios obligatorios (ESO,EGB)",No repite,NA,506.6047842
3,Chico,1 tr,5,0.77449,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,513.412581
3,Chica,2 tr,5,1.81735,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,675.9656244
3,Chico,1 tr,4,0.38193,Tecnico superior FP,Repite,No lo he pensado todavia,540.8893186
3,Chico,4 tr,4,1.3301,Bachillerato,No repite,Hasta terminar una carrera universitaria,395.86184860000003
3,Chica,3 tr,4,1.81735,Tecnico superior FP,No repite,Hasta terminar una carrera universitaria,589.9210584
3,Chico,3 tr,4,1.22369,Universitarios superiores,No repite,Hasta terminar Bachillerato,580.0719898
3,Chica,2 tr,4,0.183,NA,No repite,Hasta terminar una carrera universitaria,497.1203888
3,Chico,1 tr,4,0.38193,Bachillerato,Repite,Hasta terminar Bachillerato,538.6382924
3,Chica,3 tr,4,0.32551,Bachillerato,No repite,Hasta terminar Bachillerato,506.212801
3,Chico,1 tr,4,0.86918,Bachillerato,Repite,No lo he pensado todavia,530.9197252
3,Chica,3 tr,4,-0.42471,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,579.595656
3,Chico,2 tr,4,-1.18621,"Estudios obligatorios (ESO,EGB)",Repite,Hasta terminar un Ciclo Formativo de grado superior,462.7105778
3,Chica,3 tr,5,-0.23193,NA,Repite,Hasta terminar los estudios obligatorios (ESO),408.5409524
3,Chica,4 tr,5,1.12506,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,711.9894388
3,Chica,4 tr,4,0.81276,Universitarios medios,No repite,No lo he pensado todavia,462.6821426
3,Chico,1 tr,6,-0.42471,"Estudios obligatorios (ESO,EGB)",Repite,No lo he pensado todavia,568.0119796
3,Chica,3 tr,6,0.62502,Bachillerato,No repite,Hasta terminar una carrera universitaria,608.728821
3,Chica,3 tr,4,0.41013,Universitarios medios,No repite,Hasta terminar una carrera universitaria,591.250589
3,Chico,2 tr,4,0.46655,Universitarios medios,No repite,Hasta terminar una carrera universitaria,678.4643351999999
3,Chica,1 tr,6,0.28724,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,557.2685232
3,Chica,2 tr,6,0.71414,Universitarios superiores,Repite,Hasta terminar una carrera universitaria,484.6905866
3,Chico,1 tr,4,-1.51819,"Estudios obligatorios (ESO,EGB)",No repite,No lo he pensado todavia,540.5075836
3,Chica,3 tr,5,1.40642,Universitarios medios,No repite,No lo he pensado todavia,525.4567496
3,Chica,4 tr,6,0.28784,NA,Repite,Hasta terminar una carrera universitaria,NA
3,Chica,1 tr,5,1.81735,Universitarios medios,No repite,Hasta terminar una carrera universitaria,611.467679
3,Chico,2 tr,5,-0.77528,"Estudios obligatorios (ESO,EGB)",Repite,No lo he pensado todavia,538.4257428
3,Chico,4 tr,4,-1.11556,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar un Ciclo Formativo de grado medio,489.1728868
3,Chica,4 tr,5,-0.37957,Bachillerato,No repite,Hasta terminar una carrera universitaria,677.8020386
3,Chico,3 tr,4,-0.87238,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,508.2067144
3,Chica,4 tr,4,0.36935,"Estudios obligatorios (ESO,EGB)",No repite,NA,564.8006484
3,Chico,2 tr,4,1.81735,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,733.3472194
3,Chico,4 tr,5,-0.37127,Tecnico superior FP,No repite,Hasta terminar un Ciclo Formativo de grado superior,555.2118528
4,Chica,3 tr,2,-0.50321,NA,No repite,Hasta terminar Bachillerato,492.536475
4,Chica,2 tr,5,0.63781,Tecnico superior FP,No repite,Hasta terminar una carrera universitaria,507.9913476
4,Chica,4 tr,5,0.03136,Tecnico FP grado medio,No repite,Hasta terminar Bachillerato,544.6320022
4,Chico,3 tr,5,0.5814,Tecnico superior FP,No repite,Hasta terminar una carrera universitaria,502.0968164
4,Chica,4 tr,6,0.38193,Tecnico superior FP,No repite,Hasta terminar una carrera universitaria,547.4723961999999
4,Chica,4 tr,6,1.22369,Tecnico FP grado medio,No repite,Hasta terminar una carrera universitaria,497.589513
4,Chica,4 tr,6,1.81735,Tecnico superior FP,No repite,Hasta terminar una carrera universitaria,521.2498028
4,Chica,4 tr,6,1.47958,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,489.9972066
4,Chica,4 tr,6,1.81735,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,595.3236752
4,Chico,4 tr,4,1.81735,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,604.5574386
4,Chica,3 tr,6,1.11227,Universitarios medios,No repite,Hasta terminar una carrera universitaria,470.644467
4,Chico,4 tr,3,1.40642,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,403.008209
4,Chico,3 tr,4,1.81735,Universitarios medios,No repite,Hasta terminar un Ciclo Formativo de grado superior,588.307408
4,Chica,4 tr,6,1.81735,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,452.3885226
4,Chico,2 tr,5,1.81735,Bachillerato,No repite,Hasta terminar una carrera universitaria,705.0276512
4,Chica,4 tr,4,0.45425,NA,No repite,Hasta terminar una carrera universitaria,509.9925824
4,Chica,3 tr,4,1.46284,Bachillerato,No repite,Hasta terminar una carrera universitaria,406.8011092
4,Chica,3 tr,3,1.46284,Universitarios medios,No repite,Hasta terminar una carrera universitaria,553.1347135999999
4,Chico,4 tr,5,-0.71156,"Estudios obligatorios (ESO,EGB)",Repite,Hasta terminar Bachillerato,491.5925916
4,Chico,2 tr,4,0.31474,"Estudios obligatorios (ESO,EGB)",Repite,Hasta terminar Bachillerato,504.2487018
4,Chico,2 tr,6,0.03136,Bachillerato,Repite,Hasta terminar un Ciclo Formativo de grado superior,463.417956
4,Chica,2 tr,5,0.71414,Sin estudios obligatorios,No repite,Hasta terminar Bachillerato,515.1870538
4,Chica,2 tr,5,-0.37127,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,507.2106212
4,Chica,3 tr,4,0.38193,Tecnico superior FP,No repite,Hasta terminar un Ciclo Formativo de grado superior,473.2612148
